"DATE","GDPV","IRL","IRS","GDP","CPIH_YTYPCT","IRCB","UNR","YPH","UNR_us","IRCB_us","CPI_us"
2025-02-26,2615392651170.56,2.92875238095238,2.64982153836501,2990454322870.05,1.74070481376643,2.59444444444444,7.61963016598607,1020207111834.7,4.14759230355366,4.22444444444444,1.30339402057392
2025-02-27,2615468255466.55,2.92875238095238,2.64704376058724,2990655016612.65,1.73746638245748,2.59166666666667,7.62024497382626,1020283849535.44,4.14748224372793,4.22166666666667,1.30348158955987
2025-02-28,2615543859762.54,2.92875238095238,2.64426598280946,2990855710355.25,1.73422795114853,2.58888888888889,7.62085978166645,1020360587236.18,4.14737218390221,4.21888888888889,1.30356915854583
2025-03-01,2615619464058.53,2.92875238095238,2.64148820503168,2991056404097.85,1.73098951983959,2.58611111111111,7.62147458950664,1020437324936.92,4.14726212407648,4.21611111111111,1.30365672753178
2025-03-02,2615695068354.52,2.92875238095238,2.6387104272539,2991257097840.44,1.72775108853064,2.58333333333333,7.62208939734683,1020514062637.66,4.14715206425076,4.21333333333333,1.30374429651773
2025-03-03,2615770672650.51,2.92875238095238,2.63593264947613,2991457791583.04,1.72451265722169,2.58055555555556,7.62270420518702,1020590800338.4,4.14704200442504,4.21055555555556,1.30383186550368
2025-03-04,2615846276946.5,2.92875238095238,2.63315487169835,2991658485325.64,1.72127422591275,2.57777777777778,7.62331901302721,1020667538039.15,4.14693194459931,4.20777777777778,1.30391943448963
2025-03-05,2615921881242.49,2.92875238095238,2.63037709392057,2991859179068.23,1.7180357946038,2.575,7.6239338208674,1020744275739.89,4.14682188477359,4.205,1.30400700347558
2025-03-06,2615997485538.48,2.92875238095238,2.62759931614279,2992059872810.83,1.71479736329485,2.57222222222222,7.62454862870759,1020821013440.63,4.14671182494786,4.20222222222222,1.30409457246153
2025-03-07,2616073089834.47,2.92875238095238,2.62482153836501,2992260566553.43,1.71155893198591,2.56944444444444,7.62516343654778,1020897751141.37,4.14660176512214,4.19944444444444,1.30418214144748
2025-03-08,2616148694130.46,2.92875238095238,2.62204376058724,2992461260296.03,1.70832050067696,2.56666666666667,7.62577824438797,1020974488842.11,4.14649170529641,4.19666666666667,1.30426971043343
2025-03-09,2616224298426.45,2.92875238095238,2.61926598280946,2992661954038.62,1.70508206936802,2.56388888888889,7.62639305222817,1021051226542.85,4.14638164547069,4.19388888888889,1.30435727941938
2025-03-10,2616299902722.44,2.92875238095238,2.61648820503168,2992862647781.22,1.70184363805907,2.56111111111111,7.62700786006836,1021127964243.6,4.14627158564497,4.19111111111111,1.30444484840533
2025-03-11,2616375507018.43,2.92875238095238,2.6137104272539,2993063341523.82,1.69860520675012,2.55833333333333,7.62762266790855,1021204701944.34,4.14616152581924,4.18833333333333,1.30453241739128
2025-03-12,2616451111314.42,2.92875238095238,2.61093264947613,2993264035266.42,1.69536677544118,2.55555555555556,7.62823747574874,1021281439645.08,4.14605146599352,4.18555555555556,1.30461998637723
2025-03-13,2616526715610.41,2.92875238095238,2.60815487169835,2993464729009.01,1.69212834413223,2.55277777777778,7.62885228358893,1021358177345.82,4.14594140616779,4.18277777777778,1.30470755536319
2025-03-14,2616602319906.4,2.92875238095238,2.60537709392057,2993665422751.61,1.68888991282328,2.55,7.62946709142912,1021434915046.56,4.14583134634207,4.18,1.30479512434914
2025-03-15,2616677924202.39,2.92875238095238,2.60259931614279,2993866116494.21,1.68565148151434,2.54722222222222,7.63008189926931,1021511652747.3,4.14572128651634,4.17722222222222,1.30488269333509
2025-03-16,2616753528498.38,2.92875238095238,2.59982153836501,2994066810236.8,1.68241305020539,2.54444444444444,7.6306967071095,1021588390448.05,4.14561122669062,4.17444444444444,1.30497026232104
2025-03-17,2616829132794.37,2.92875238095238,2.59704376058724,2994267503979.4,1.67917461889645,2.54166666666667,7.63131151494969,1021665128148.79,4.14550116686489,4.17166666666667,1.30505783130699
2025-03-18,2616904737090.36,2.92875238095238,2.59426598280946,2994468197722,1.6759361875875,2.53888888888889,7.63192632278988,1021741865849.53,4.14539110703917,4.16888888888889,1.30514540029294
2025-03-19,2616980341386.35,2.92875238095238,2.59148820503168,2994668891464.6,1.67269775627855,2.53611111111111,7.63254113063007,1021818603550.27,4.14528104721345,4.16611111111111,1.30523296927889
2025-03-20,2617055945682.34,2.92875238095238,2.5887104272539,2994869585207.19,1.66945932496961,2.53333333333333,7.63315593847026,1021895341251.01,4.14517098738772,4.16333333333333,1.30532053826484
2025-03-21,2617131549978.32,2.92875238095238,2.58593264947613,2995070278949.79,1.66622089366066,2.53055555555556,7.63377074631045,1021972078951.75,4.145060927562,4.16055555555556,1.30540810725079
2025-03-22,2617207154274.31,2.92875238095238,2.58315487169835,2995270972692.39,1.66298246235171,2.52777777777778,7.63438555415064,1022048816652.49,4.14495086773627,4.15777777777778,1.30549567623674
2025-03-23,2617282758570.3,2.92875238095238,2.58037709392057,2995471666434.98,1.65974403104277,2.525,7.63500036199083,1022125554353.24,4.14484080791055,4.155,1.30558324522269
2025-03-24,2617358362866.29,2.92875238095238,2.57759931614279,2995672360177.58,1.65650559973382,2.52222222222222,7.63561516983102,1022202292053.98,4.14473074808482,4.15222222222222,1.30567081420864
2025-03-25,2617433967162.28,2.92875238095238,2.57482153836501,2995873053920.18,1.65326716842487,2.51944444444444,7.63622997767121,1022279029754.72,4.1446206882591,4.14944444444444,1.30575838319459
2025-03-26,2617509571458.27,2.92875238095238,2.57204376058724,2996073747662.78,1.65002873711593,2.51666666666667,7.6368447855114,1022355767455.46,4.14451062843338,4.14666666666667,1.30584595218055
2025-03-27,2617585175754.26,2.92875238095238,2.56926598280946,2996274441405.37,1.64679030580698,2.51388888888889,7.63745959335159,1022432505156.2,4.14440056860765,4.14388888888889,1.3059335211665
2025-03-28,2617660780050.25,2.92875238095238,2.56648820503168,2996475135147.97,1.64355187449804,2.51111111111111,7.63807440119178,1022509242856.94,4.14429050878193,4.14111111111111,1.30602109015245
2025-03-29,2617736384346.24,2.92875238095238,2.5637104272539,2996675828890.57,1.64031344318909,2.50833333333333,7.63868920903197,1022585980557.69,4.1441804489562,4.13833333333333,1.3061086591384
2025-03-30,2617811988642.23,2.92875238095238,2.56093264947613,2996876522633.17,1.63707501188014,2.50555555555556,7.63930401687216,1022662718258.43,4.14407038913048,4.13555555555556,1.30619622812435
2025-03-31,2617887592938.22,2.92875238095238,2.55815487169835,2997077216375.76,1.6338365805712,2.50277777777778,7.63991882471235,1022739455959.17,4.14396032930475,4.13277777777778,1.3062837971103
2025-04-01,2617963197234.21,2.92875238095238,2.55537709392057,2997277910118.36,1.63059814926225,2.5,7.64053363255254,1022816193659.91,4.14385026947903,4.13,1.30637136609625
2025-04-02,2618039834150.61,2.92875238095238,2.55262984117332,2997499362028.52,1.62825583284311,2.49725274725275,7.64114132019597,1022893510452.19,4.14374193701385,4.12725274725275,1.30645673593968
2025-04-03,2618116471067.01,2.92875238095238,2.54988258842606,2997720813938.68,1.62591351642396,2.49450549450549,7.64174900783939,1022970827244.46,4.14363360454867,4.12450549450549,1.3065421057831
2025-04-04,2618193107983.41,2.92875238095238,2.54713533567881,2997942265848.84,1.62357120000482,2.49175824175824,7.64235669548282,1023048144036.74,4.14352527208349,4.12175824175824,1.30662747562653
2025-04-05,2618269744899.8,2.92875238095238,2.54438808293156,2998163717759,1.62122888358567,2.48901098901099,7.64296438312625,1023125460829.02,4.14341693961831,4.11901098901099,1.30671284546995
2025-04-06,2618346381816.2,2.92875238095238,2.54164083018431,2998385169669.16,1.61888656716653,2.48626373626374,7.64357207076967,1023202777621.29,4.14330860715312,4.11626373626374,1.30679821531338
2025-04-07,2618423018732.6,2.92875238095238,2.53889357743705,2998606621579.32,1.61654425074738,2.48351648351648,7.6441797584131,1023280094413.57,4.14320027468794,4.11351648351648,1.3068835851568
2025-04-08,2618499655649,2.92875238095238,2.5361463246898,2998828073489.47,1.61420193432824,2.48076923076923,7.64478744605653,1023357411205.84,4.14309194222276,4.11076923076923,1.30696895500023
2025-04-09,2618576292565.4,2.92875238095238,2.53339907194255,2999049525399.63,1.61185961790909,2.47802197802198,7.64539513369995,1023434727998.12,4.14298360975758,4.10802197802198,1.30705432484366
2025-04-10,2618652929481.8,2.92875238095238,2.5306518191953,2999270977309.79,1.60951730148995,2.47527472527473,7.64600282134338,1023512044790.4,4.1428752772924,4.10527472527473,1.30713969468708
2025-04-11,2618729566398.2,2.92875238095238,2.52790456644804,2999492429219.95,1.6071749850708,2.47252747252747,7.6466105089868,1023589361582.67,4.14276694482722,4.10252747252747,1.30722506453051
2025-04-12,2618806203314.6,2.92875238095238,2.52515731370079,2999713881130.11,1.60483266865166,2.46978021978022,7.64721819663023,1023666678374.95,4.14265861236204,4.09978021978022,1.30731043437393
2025-04-13,2618882840230.99,2.92875238095238,2.52241006095354,2999935333040.27,1.60249035223251,2.46703296703297,7.64782588427366,1023743995167.23,4.14255027989685,4.09703296703297,1.30739580421736
2025-04-14,2618959477147.39,2.92875238095238,2.51966280820628,3000156784950.43,1.60014803581337,2.46428571428571,7.64843357191708,1023821311959.5,4.14244194743167,4.09428571428571,1.30748117406078
2025-04-15,2619036114063.79,2.92875238095238,2.51691555545903,3000378236860.59,1.59780571939422,2.46153846153846,7.64904125956051,1023898628751.78,4.14233361496649,4.09153846153846,1.30756654390421
2025-04-16,2619112750980.19,2.92875238095238,2.51416830271178,3000599688770.75,1.59546340297508,2.45879120879121,7.64964894720394,1023975945544.06,4.14222528250131,4.08879120879121,1.30765191374764
2025-04-17,2619189387896.59,2.92875238095238,2.51142104996453,3000821140680.91,1.59312108655593,2.45604395604396,7.65025663484736,1024053262336.33,4.14211695003613,4.08604395604396,1.30773728359106
2025-04-18,2619266024812.99,2.92875238095238,2.50867379721727,3001042592591.07,1.59077877013679,2.4532967032967,7.65086432249079,1024130579128.61,4.14200861757095,4.0832967032967,1.30782265343449
2025-04-19,2619342661729.39,2.92875238095238,2.50592654447002,3001264044501.23,1.58843645371764,2.45054945054945,7.65147201013422,1024207895920.88,4.14190028510577,4.08054945054945,1.30790802327791
2025-04-20,2619419298645.79,2.92875238095238,2.50317929172277,3001485496411.39,1.5860941372985,2.4478021978022,7.65207969777764,1024285212713.16,4.14179195264059,4.0778021978022,1.30799339312134
2025-04-21,2619495935562.18,2.92875238095238,2.50043203897552,3001706948321.54,1.58375182087935,2.44505494505495,7.65268738542107,1024362529505.44,4.14168362017541,4.07505494505495,1.30807876296476
2025-04-22,2619572572478.58,2.92875238095238,2.49768478622826,3001928400231.7,1.58140950446021,2.44230769230769,7.6532950730645,1024439846297.71,4.14157528771022,4.07230769230769,1.30816413280819
2025-04-23,2619649209394.98,2.92875238095238,2.49493753348101,3002149852141.86,1.57906718804106,2.43956043956044,7.65390276070792,1024517163089.99,4.14146695524504,4.06956043956044,1.30824950265162
2025-04-24,2619725846311.38,2.92875238095238,2.49219028073376,3002371304052.02,1.57672487162192,2.43681318681319,7.65451044835135,1024594479882.27,4.14135862277986,4.06681318681319,1.30833487249504
2025-04-25,2619802483227.78,2.92875238095238,2.4894430279865,3002592755962.18,1.57438255520277,2.43406593406593,7.65511813599478,1024671796674.54,4.14125029031468,4.06406593406593,1.30842024233847
2025-04-26,2619879120144.18,2.92875238095238,2.48669577523925,3002814207872.34,1.57204023878363,2.43131868131868,7.6557258236382,1024749113466.82,4.1411419578495,4.06131868131868,1.30850561218189
2025-04-27,2619955757060.58,2.92875238095238,2.483948522492,3003035659782.5,1.56969792236448,2.42857142857143,7.65633351128163,1024826430259.1,4.14103362538432,4.05857142857143,1.30859098202532
2025-04-28,2620032393976.97,2.92875238095238,2.48120126974475,3003257111692.66,1.56735560594534,2.42582417582418,7.65694119892505,1024903747051.37,4.14092529291914,4.05582417582418,1.30867635186874
2025-04-29,2620109030893.37,2.92875238095238,2.47845401699749,3003478563602.82,1.56501328952619,2.42307692307692,7.65754888656848,1024981063843.65,4.14081696045396,4.05307692307692,1.30876172171217
2025-04-30,2620185667809.77,2.92875238095238,2.47570676425024,3003700015512.98,1.56267097310705,2.42032967032967,7.65815657421191,1025058380635.92,4.14070862798877,4.05032967032967,1.3088470915556
2025-05-01,2620262304726.17,2.92875238095238,2.47295951150299,3003921467423.14,1.5603286566879,2.41758241758242,7.65876426185533,1025135697428.2,4.14060029552359,4.04758241758242,1.30893246139902
2025-05-02,2620338941642.57,2.92875238095238,2.47021225875573,3004142919333.3,1.55798634026876,2.41483516483516,7.65937194949876,1025213014220.48,4.14049196305841,4.04483516483517,1.30901783124245
2025-05-03,2620415578558.97,2.92875238095238,2.46746500600848,3004364371243.46,1.55564402384961,2.41208791208791,7.65997963714219,1025290331012.75,4.14038363059323,4.04208791208791,1.30910320108587
2025-05-04,2620492215475.37,2.92875238095238,2.46471775326123,3004585823153.61,1.55330170743047,2.40934065934066,7.66058732478561,1025367647805.03,4.14027529812805,4.03934065934066,1.3091885709293
2025-05-05,2620568852391.77,2.92875238095238,2.46197050051398,3004807275063.77,1.55095939101132,2.40659340659341,7.66119501242904,1025444964597.31,4.14016696566287,4.03659340659341,1.30927394077272
2025-05-06,2620645489308.16,2.92875238095238,2.45922324776672,3005028726973.93,1.54861707459218,2.40384615384615,7.66180270007247,1025522281389.58,4.14005863319769,4.03384615384615,1.30935931061615
2025-05-07,2620722126224.56,2.92875238095238,2.45647599501947,3005250178884.09,1.54627475817303,2.4010989010989,7.66241038771589,1025599598181.86,4.13995030073251,4.0310989010989,1.30944468045958
2025-05-08,2620798763140.96,2.92875238095238,2.45372874227222,3005471630794.25,1.54393244175389,2.39835164835165,7.66301807535932,1025676914974.14,4.13984196826733,4.02835164835165,1.309530050303
2025-05-09,2620875400057.36,2.92875238095238,2.45098148952497,3005693082704.41,1.54159012533474,2.3956043956044,7.66362576300275,1025754231766.41,4.13973363580214,4.0256043956044,1.30961542014643
2025-05-10,2620952036973.76,2.92875238095238,2.44823423677771,3005914534614.57,1.5392478089156,2.39285714285714,7.66423345064617,1025831548558.69,4.13962530333696,4.02285714285714,1.30970078998985
2025-05-11,2621028673890.16,2.92875238095238,2.44548698403046,3006135986524.73,1.53690549249645,2.39010989010989,7.6648411382896,1025908865350.96,4.13951697087178,4.02010989010989,1.30978615983328
2025-05-12,2621105310806.56,2.92875238095238,2.44273973128321,3006357438434.89,1.53456317607731,2.38736263736264,7.66544882593303,1025986182143.24,4.1394086384066,4.01736263736264,1.3098715296767
2025-05-13,2621181947722.95,2.92875238095238,2.43999247853595,3006578890345.05,1.53222085965816,2.38461538461538,7.66605651357645,1026063498935.52,4.13930030594142,4.01461538461538,1.30995689952013
2025-05-14,2621258584639.35,2.92875238095238,2.4372452257887,3006800342255.21,1.52987854323902,2.38186813186813,7.66666420121988,1026140815727.79,4.13919197347624,4.01186813186813,1.31004226936356
2025-05-15,2621335221555.75,2.92875238095238,2.43449797304145,3007021794165.37,1.52753622681987,2.37912087912088,7.66727188886331,1026218132520.07,4.13908364101106,4.00912087912088,1.31012763920698
2025-05-16,2621411858472.15,2.92875238095238,2.4317507202942,3007243246075.53,1.52519391040073,2.37637362637363,7.66787957650673,1026295449312.35,4.13897530854588,4.00637362637363,1.31021300905041
2025-05-17,2621488495388.55,2.92875238095238,2.42900346754694,3007464697985.68,1.52285159398158,2.37362637362637,7.66848726415016,1026372766104.62,4.13886697608069,4.00362637362637,1.31029837889383
2025-05-18,2621565132304.95,2.92875238095238,2.42625621479969,3007686149895.84,1.52050927756244,2.37087912087912,7.66909495179358,1026450082896.9,4.13875864361551,4.00087912087912,1.31038374873726
2025-05-19,2621641769221.35,2.92875238095238,2.42350896205244,3007907601806,1.51816696114329,2.36813186813187,7.66970263943701,1026527399689.18,4.13865031115033,3.99813186813187,1.31046911858068
2025-05-20,2621718406137.75,2.92875238095238,2.42076170930519,3008129053716.16,1.51582464472415,2.36538461538462,7.67031032708044,1026604716481.45,4.13854197868515,3.99538461538462,1.31055448842411
2025-05-21,2621795043054.14,2.92875238095238,2.41801445655793,3008350505626.32,1.513482328305,2.36263736263736,7.67091801472386,1026682033273.73,4.13843364621997,3.99263736263736,1.31063985826754
2025-05-22,2621871679970.54,2.92875238095238,2.41526720381068,3008571957536.48,1.51114001188586,2.35989010989011,7.67152570236729,1026759350066.01,4.13832531375479,3.98989010989011,1.31072522811096
2025-05-23,2621948316886.94,2.92875238095238,2.41251995106343,3008793409446.64,1.50879769546671,2.35714285714286,7.67213339001072,1026836666858.28,4.13821698128961,3.98714285714286,1.31081059795439
2025-05-24,2622024953803.34,2.92875238095238,2.40977269831617,3009014861356.8,1.50645537904757,2.3543956043956,7.67274107765414,1026913983650.56,4.13810864882443,3.9843956043956,1.31089596779781
2025-05-25,2622101590719.74,2.92875238095238,2.40702544556892,3009236313266.96,1.50411306262842,2.35164835164835,7.67334876529757,1026991300442.83,4.13800031635924,3.98164835164835,1.31098133764124
2025-05-26,2622178227636.14,2.92875238095238,2.40427819282167,3009457765177.12,1.50177074620928,2.3489010989011,7.673956452941,1027068617235.11,4.13789198389406,3.9789010989011,1.31106670748466
2025-05-27,2622254864552.54,2.92875238095238,2.40153094007442,3009679217087.28,1.49942842979013,2.34615384615385,7.67456414058442,1027145934027.39,4.13778365142888,3.97615384615385,1.31115207732809
2025-05-28,2622331501468.94,2.92875238095238,2.39878368732716,3009900668997.44,1.49708611337099,2.34340659340659,7.67517182822785,1027223250819.66,4.1376753189637,3.97340659340659,1.31123744717152
2025-05-29,2622408138385.33,2.92875238095238,2.39603643457991,3010122120907.6,1.49474379695184,2.34065934065934,7.67577951587128,1027300567611.94,4.13756698649852,3.97065934065934,1.31132281701494
2025-05-30,2622484775301.73,2.92875238095238,2.39328918183266,3010343572817.75,1.4924014805327,2.33791208791209,7.6763872035147,1027377884404.22,4.13745865403334,3.96791208791209,1.31140818685837
2025-05-31,2622561412218.13,2.92875238095238,2.39054192908541,3010565024727.91,1.49005916411355,2.33516483516484,7.67699489115813,1027455201196.49,4.13735032156816,3.96516483516484,1.31149355670179
2025-06-01,2622638049134.53,2.92875238095238,2.38779467633815,3010786476638.07,1.48771684769441,2.33241758241758,7.67760257880156,1027532517988.77,4.13724198910298,3.96241758241758,1.31157892654522
2025-06-02,2622714686050.93,2.92875238095238,2.3850474235909,3011007928548.23,1.48537453127526,2.32967032967033,7.67821026644498,1027609834781.05,4.1371336566378,3.95967032967033,1.31166429638864
2025-06-03,2622791322967.33,2.92875238095238,2.38230017084365,3011229380458.39,1.48303221485612,2.32692307692308,7.67881795408841,1027687151573.32,4.13702532417261,3.95692307692308,1.31174966623207
2025-06-04,2622867959883.73,2.92875238095238,2.37955291809639,3011450832368.55,1.48068989843697,2.32417582417582,7.67942564173183,1027764468365.6,4.13691699170743,3.95417582417582,1.3118350360755
2025-06-05,2622944596800.12,2.92875238095238,2.37680566534914,3011672284278.71,1.47834758201783,2.32142857142857,7.68003332937526,1027841785157.87,4.13680865924225,3.95142857142857,1.31192040591892
2025-06-06,2623021233716.52,2.92875238095238,2.37405841260189,3011893736188.87,1.47600526559868,2.31868131868132,7.68064101701869,1027919101950.15,4.13670032677707,3.94868131868132,1.31200577576235
2025-06-07,2623097870632.92,2.92875238095238,2.37131115985464,3012115188099.03,1.47366294917954,2.31593406593407,7.68124870466211,1027996418742.43,4.13659199431189,3.94593406593407,1.31209114560577
2025-06-08,2623174507549.32,2.92875238095238,2.36856390710738,3012336640009.19,1.47132063276039,2.31318681318681,7.68185639230554,1028073735534.7,4.13648366184671,3.94318681318681,1.3121765154492
