"DATE","GDPV","IRL","IRS","GDP","CPIH_YTYPCT","IRCB","UNR","YPH","UNR_us","IRCB_us","CPI_us","CAC40"
2013-03-20,2299080853333.33,1.98976444444444,0.207412991822992,2123936613333.33,0.960869724131974,0,10.5088358441006,748369333333.333,7.56311177792888,0.125,0.946793261740573,3829.56005859375
2013-03-21,2299303382222.22,1.98757851851852,0.207361410133077,2124176728888.89,0.957449875999304,0,10.5101355013851,748431555555.556,7.56074658304259,0.125,0.946781733042804,3774.85009765625
2013-03-22,2299525911111.11,1.98539259259259,0.207309828443162,2124416844444.44,0.954030027866635,0,10.5114351586696,748493777777.778,7.55838138815629,0.125,0.946770204345035,3770.2900390625
2013-03-25,2300193497777.78,1.97883481481481,0.207155083373417,2125137191111.11,0.943770483468626,0,10.5153341305231,748680444444.444,7.55128580349742,0.125,0.946735618251727,3727.97998046875
2013-03-26,2300416026666.67,1.97664888888889,0.207103501683502,2125377306666.67,0.940350635335956,0,10.5166337878075,748742666666.667,7.54892060861113,0.125,0.946724089553957,3748.63989257812
2013-03-27,2300638555555.56,1.97446296296296,0.207051919993587,2125617422222.22,0.936930787203287,0,10.517933445092,748804888888.889,7.54655541372484,0.125,0.946712560856188,3711.63989257812
2013-03-28,2300861084444.44,1.97227703703703,0.207000338303672,2125857537777.78,0.933510939070617,0,10.5192331023765,748867111111.111,7.54419021883855,0.125,0.946701032158418,3731.419921875
2013-04-02,2301746184615.38,1.96794212454212,0.206977727586424,2126787503296.7,0.921201090976568,0,10.5225307200726,749193494505.495,7.53167916237176,0.125,0.946711180228504,3805.3701171875
2013-04-03,2301741169230.77,1.97235091575091,0.207161443628835,2126757006593.41,0.922570635413197,0,10.5206297086307,749270989010.989,7.52862888545014,0.125,0.946767443089668,3754.9599609375
2013-04-04,2301736153846.15,1.9767597069597,0.207345159671247,2126726509890.11,0.923940179849825,0,10.5187286971887,749348483516.484,7.52557860852853,0.125,0.946823705950831,3726.15991210938
2013-04-05,2301731138461.54,1.9811684981685,0.207528875713659,2126696013186.81,0.925309724286454,0,10.5168276857468,749425978021.978,7.52252833160691,0.125,0.946879968811994,3663.47998046875
2013-04-08,2301716092307.69,1.99439487179487,0.208080023840894,2126604523076.92,0.929418357596341,0,10.5111246514211,749658461538.462,7.51337750084205,0.125,0.947048757395484,3666.78002929688
2013-04-09,2301711076923.08,1.99880366300366,0.208263739883306,2126574026373.63,0.930787902032969,0,10.5092236399792,749735956043.956,7.51032722392044,0.125,0.947105020256647,3670.71997070312
2013-04-10,2301706061538.46,2.00321245421245,0.208447455925717,2126543529670.33,0.932157446469598,0,10.5073226285372,749813450549.451,7.50727694699882,0.125,0.947161283117811,3743.7099609375
2013-04-11,2301701046153.85,2.00762124542124,0.208631171968129,2126513032967.03,0.933526990906227,0,10.5054216170953,749890945054.945,7.5042266700772,0.125,0.947217545978974,3775.65991210938
2013-04-12,2301696030769.23,2.01203003663003,0.208814888010541,2126482536263.74,0.934896535342856,0,10.5035206056534,749968439560.44,7.50117639315558,0.125,0.947273808840137,3729.30004882812
2013-04-15,2301680984615.38,2.02525641025641,0.209366036137776,2126391046153.85,0.939005168652742,0,10.4978175713276,750200923076.923,7.49202556239073,0.125,0.947442597423627,3710.47998046875
2013-04-16,2301675969230.77,2.0296652014652,0.209549752180187,2126360549450.55,0.940374713089371,0,10.4959165598857,750278417582.418,7.48897528546911,0.125,0.94749886028479,3685.7900390625
2013-04-17,2301670953846.15,2.03407399267399,0.209733468222599,2126330052747.25,0.941744257526,0,10.4940155484438,750355912087.912,7.48592500854749,0.125,0.947555123145954,3599.22998046875
2013-04-18,2301665938461.54,2.03848278388278,0.209917184265011,2126299556043.96,0.943113801962629,0,10.4921145370019,750433406593.407,7.48287473162587,0.125,0.947611386007117,3599.36010742188
2013-04-19,2301660923076.92,2.04289157509157,0.210100900307422,2126269059340.66,0.944483346399257,0,10.49021352556,750510901098.901,7.47982445470425,0.125,0.94766764886828,3651.9599609375
2013-04-22,2301645876923.08,2.05611794871795,0.210652048434658,2126177569230.77,0.948591979709144,0,10.4845104912342,750743384615.385,7.4706736239394,0.125,0.94783643745177,3652.1298828125
2013-04-23,2301640861538.46,2.06052673992674,0.210835764477069,2126147072527.47,0.949961524145773,0,10.4826094797923,750820879120.879,7.46762334701778,0.125,0.947892700312933,3783.05004882812
2013-04-24,2301635846153.85,2.06493553113553,0.211019480519481,2126116575824.18,0.951331068582401,0,10.4807084683504,750898373626.374,7.46457307009616,0.125,0.947948963174097,3842.93994140625
2013-04-25,2301630830769.23,2.06934432234432,0.211203196561893,2126086079120.88,0.95270061301903,0,10.4788074569085,750975868131.868,7.46152279317455,0.125,0.94800522603526,3840.46997070312
2013-04-26,2301625815384.62,2.07375311355311,0.211386912604304,2126055582417.58,0.954070157455659,0,10.4769064454665,751053362637.363,7.45847251625293,0.125,0.948061488896423,3810.05004882812
2013-04-29,2301610769230.77,2.08697948717949,0.211938060731539,2125964092307.69,0.958178790765545,0,10.4712034111408,751285846153.846,7.44932168548807,0.125,0.948230277479913,3868.67993164062
2013-04-30,2301605753846.15,2.09138827838828,0.212121776773951,2125933595604.4,0.959548335202174,0,10.4693023996989,751363340659.341,7.44627140856645,0.125,0.948286540341077,3856.75
2013-05-02,2301595723076.92,2.10020586080586,0.212489208858774,2125872602197.8,0.962287424075432,0,10.465500376815,751518329670.33,7.44017085472322,0.125,0.948399066063403,3858.76000976562
2013-05-03,2301590707692.31,2.10461465201465,0.212672924901186,2125842105494.51,0.963656968512061,0,10.4635993653731,751595824175.824,7.4371205778016,0.125,0.948455328924567,3912.94995117188
2013-05-06,2301575661538.46,2.11784102564103,0.213224073028421,2125750615384.62,0.967765601821947,0,10.4578963310473,751828307692.308,7.42796974703675,0.125,0.948624117508056,3907.0400390625
2013-05-07,2301570646153.85,2.12224981684982,0.213407789070833,2125720118681.32,0.969135146258576,0,10.4559953196054,751905802197.802,7.42491947011513,0.125,0.94868038036922,3921.32006835938
2013-05-08,2301565630769.23,2.12665860805861,0.213591505113245,2125689621978.02,0.970504690695205,0,10.4540943081635,751983296703.297,7.42186919319351,0.125,0.948736643230383,3956.28002929688
2013-05-09,2301560615384.62,2.1310673992674,0.213775221155656,2125659125274.73,0.971874235131833,0,10.4521932967216,752060791208.791,7.41881891627189,0.125,0.948792906091546,3928.580078125
2013-05-10,2301555600000,2.13547619047619,0.213958937198068,2125628628571.43,0.973243779568462,0,10.4502922852797,752138285714.286,7.41576863935027,0.125,0.94884916895271,3953.830078125
2013-05-13,2301540553846.15,2.14870256410257,0.214510085325303,2125537138461.54,0.977352412878349,0,10.4445892509539,752370769230.769,7.40661780858542,0.125,0.949017957536199,3945.19995117188
2013-05-14,2301535538461.54,2.15311135531136,0.214693801367715,2125506641758.24,0.978721957314977,0,10.442688239512,752448263736.264,7.4035675316638,0.125,0.949074220397363,3966.06005859375
2013-05-15,2301530523076.92,2.15752014652015,0.214877517410126,2125476145054.95,0.980091501751606,0,10.4407872280701,752525758241.758,7.40051725474218,0.125,0.949130483258526,3982.22998046875
2013-05-16,2301525507692.31,2.16192893772894,0.215061233452538,2125445648351.65,0.981461046188235,0,10.4388862166282,752603252747.253,7.39746697782056,0.125,0.949186746119689,3979.07006835938
2013-05-17,2301520492307.69,2.16633772893773,0.21524494949495,2125415151648.35,0.982830590624864,0,10.4369852051862,752680747252.747,7.39441670089895,0.125,0.949243008980853,4001.27001953125
2013-05-20,2301505446153.85,2.1795641025641,0.215796097622185,2125323661538.46,0.98693922393475,0,10.4312821708605,752913230769.231,7.38526587013409,0.125,0.949411797564343,4022.85009765625
2013-05-21,2301500430769.23,2.1839728937729,0.215979813664597,2125293164835.16,0.988308768371379,0,10.4293811594186,752990725274.725,7.38221559321247,0.125,0.949468060425506,4036.17993164062
2013-05-22,2301495415384.62,2.18838168498169,0.216163529707008,2125262668131.87,0.989678312808008,0,10.4274801479766,753068219780.22,7.37916531629086,0.125,0.949524323286669,4051.11010742188
2013-05-23,2301490400000,2.19279047619048,0.21634724574942,2125232171428.57,0.991047857244637,0,10.4255791365347,753145714285.714,7.37611503936924,0.125,0.949580586147832,3967.14990234375
2013-05-24,2301485384615.38,2.19719926739927,0.216530961791832,2125201674725.27,0.992417401681266,0,10.4236781250928,753223208791.209,7.37306476244762,0.125,0.949636849008996,3956.7900390625
2013-05-27,2301470338461.54,2.21042564102564,0.217082109919067,2125110184615.38,0.996526034991152,0,10.4179750907671,753455692307.692,7.36391393168276,0.125,0.949805637592486,3995.15991210938
2013-05-28,2301465323076.92,2.21483443223444,0.217265825961478,2125079687912.09,0.997895579427781,0,10.4160740793251,753533186813.187,7.36086365476115,0.125,0.949861900453649,4050.56005859375
2013-05-29,2301460307692.31,2.21924322344323,0.21744954200389,2125049191208.79,0.99926512386441,0,10.4141730678832,753610681318.681,7.35781337783953,0.125,0.949918163314812,3974.1201171875
2013-05-30,2301455292307.69,2.22365201465202,0.217633258046302,2125018694505.49,1.00063466830104,0,10.4122720564413,753688175824.176,7.35476310091791,0.125,0.949974426175975,3996.31005859375
2013-05-31,2301450276923.08,2.22806080586081,0.217816974088714,2124988197802.2,1.00200421273767,0,10.4103710449994,753765670329.67,7.35171282399629,0.125,0.950030689037139,3948.59008789062
2013-06-03,2301435230769.23,2.24128717948718,0.218368122215949,2124896707692.31,1.00611284604755,0,10.4046680106736,753998153846.154,7.34256199323144,0.125,0.950199477620629,3920.669921875
2013-06-04,2301430215384.62,2.24569597069597,0.21855183825836,2124866210989.01,1.00748239048418,0,10.4027669992317,754075648351.648,7.33951171630982,0.125,0.950255740481792,3925.830078125
2013-06-05,2301425200000,2.25010476190477,0.218735554300772,2124835714285.71,1.00885193492081,0,10.4008659877898,754153142857.143,7.3364614393882,0.125,0.950312003342955,3852.43994140625
2013-06-06,2301420184615.38,2.25451355311356,0.218919270343184,2124805217582.42,1.01022147935744,0,10.3989649763479,754230637362.637,7.33341116246658,0.125,0.950368266204119,3814.28002929688
2013-06-07,2301415169230.77,2.25892234432235,0.219102986385595,2124774720879.12,1.01159102379407,0,10.3970639649059,754308131868.132,7.33036088554497,0.125,0.950424529065282,3872.59008789062
2013-06-10,2301400123076.92,2.27214871794872,0.21965413451283,2124683230769.23,1.01569965710396,0,10.3913609305802,754540615384.615,7.32121005478011,0.125,0.950593317648772,3864.36010742188
2013-06-11,2301395107692.31,2.27655750915751,0.219837850555242,2124652734065.93,1.01706920154058,0,10.3894599191383,754618109890.11,7.31815977785849,0.125,0.950649580509935,3810.56005859375
2013-06-12,2301390092307.69,2.2809663003663,0.220021566597654,2124622237362.64,1.01843874597721,0,10.3875589076964,754695604395.604,7.31510950093687,0.125,0.950705843371098,3793.69995117188
2013-06-13,2301385076923.08,2.2853750915751,0.220205282640066,2124591740659.34,1.01980829041384,0,10.3856578962544,754773098901.099,7.31205922401526,0.125,0.950762106232262,3797.97998046875
2013-06-14,2301380061538.46,2.28978388278389,0.220388998682477,2124561243956.04,1.02117783485047,0,10.3837568848125,754850593406.593,7.30900894709364,0.125,0.950818369093425,3805.15991210938
2013-06-17,2301365015384.62,2.30301025641026,0.220940146809712,2124469753846.15,1.02528646816036,0,10.3780538504868,755083076923.077,7.29985811632878,0.125,0.950987157676915,3863.65991210938
2013-06-18,2.30136e+12,2.30741904761905,0.221123862852124,2124439257142.86,1.02665601259699,0,10.3761528390448,755160571428.571,7.29680783940717,0.125,0.951043420538078,3860.55004882812
2013-06-19,2301354984615.38,2.31182783882784,0.221307578894536,2124408760439.56,1.02802555703361,0,10.3742518276029,755238065934.066,7.29375756248555,0.125,0.951099683399241,3839.34008789062
2013-06-20,2301349969230.77,2.31623663003664,0.221491294936947,2124378263736.26,1.02939510147024,0,10.372350816161,755315560439.56,7.29070728556393,0.125,0.951155946260405,3698.92993164062
2013-06-21,2301344953846.15,2.32064542124543,0.221675010979359,2124347767032.97,1.03076464590687,0,10.3704498047191,755393054945.055,7.28765700864231,0.125,0.951212209121568,3658.0400390625
2013-06-24,2301329907692.31,2.3338717948718,0.222226159106594,2124256276923.08,1.03487327921676,0,10.3647467703933,755625538461.538,7.27850617787746,0.125,0.951380997705058,3595.6298828125
2013-06-25,2301324892307.69,2.33828058608059,0.222409875149006,2124225780219.78,1.03624282365339,0,10.3628457589514,755703032967.033,7.27545590095584,0.125,0.951437260566221,3649.82006835938
2013-06-26,2301319876923.08,2.34268937728938,0.222593591191418,2124195283516.48,1.03761236809002,0,10.3609447475095,755780527472.527,7.27240562403422,0.125,0.951493523427385,3726.0400390625
2013-06-27,2301314861538.46,2.34709816849817,0.222777307233829,2124164786813.19,1.03898191252664,0,10.3590437360676,755858021978.022,7.2693553471126,0.125,0.951549786288548,3762.18994140625
2013-06-28,2301309846153.85,2.35150695970697,0.222961023276241,2124134290109.89,1.04035145696327,0,10.3571427246257,755935516483.516,7.26630507019098,0.125,0.951606049149711,3738.90991210938
2013-07-01,2301294800000,2.36473333333334,0.223512171403476,2124042800000,1.04446009027316,0,10.3514396902999,7.56168e+11,7.25715423942613,0.125,0.951774837733201,3767.47998046875
