Date,Close,Return,SMA_5,SMA_10,SMA_20,WMA_5,WMA_10,WMA_20,MACD,RSI,Stochastic_K,Stochastic_D,Williams_R,Close_minus_Open,High_minus_Low,CCI,Momentum,GDPV,IRL,IRS,GDP,CPIH_YTYPCT,IRCB,UNR,YPH,UNR_us,IRCB_us,CPI_us
2000-01-03,5917.3701171875,-0.006896419413533618,5862.0240234375,5721.551025390625,5620.77001953125,5876.351985677084,5799.45693359375,5691.589455450149,66.06353234977723,84.81449646327597,95.84414317667388,85.55314850851171,0.0415585682332612,75.68994140625,121.25,98.88548184557577,418.15966796875,1922807235164.84,5.57808131868132,3.55815565708733,1447855569230.77,1.56737243224185,2.51648351648352,9.09817405174973,483856395604.396,4.04757822218196,,0.694062540660752
2000-01-04,5672.02001953125,-0.042346794471735054,5874.998046875,5763.048046875,5643.23603515625,5894.80068359375,5835.060404829545,5719.837083798363,71.22285491486764,77.07040684755333,70.50983179673757,82.60075871266946,0.2949016820326243,-107.009765625,200.35009765625,98.99083201767887,414.97021484375,1923032052747.25,5.57602197802198,3.5660754456034,1448056553846.15,1.566982408479,2.52472527472527,9.09399390040004,483906593406.593,4.04646782325672,,0.694122315280845
2000-01-05,5479.7001953125,-0.03449492818137848,5842.5080078125,5778.1390625,5651.338525390625,5827.141341145833,5818.509854403409,5722.578415643601,57.91143885671772,47.933962969063295,31.346553590677075,65.9001761880295,0.6865344640932293,-250.2099609375,267.86962890625,-20.208914097122815,150.91015625,1923256870329.67,5.57396263736264,3.57399523411946,1448257538461.54,1.56659238471615,2.53296703296703,9.08981374905034,483956791208.791,4.04535742433149,,0.694182089900939
2000-01-06,5450.10986328125,-0.0054146237065539815,5773.03203125,5773.18505859375,5648.598046875,5706.205403645833,5764.2482421875,5706.231908017113,33.835438860254726,36.06052994655652,2.82739978319965,34.89459505687143,0.9717260021680035,-42.1298828125,127.91015625,-159.89259320028816,-49.5400390625,1923481687912.09,5.5719032967033,3.58191502263552,1448458523076.92,1.5662023609533,2.54120879120879,9.08563359770065,484006989010.989,4.04424702540625,,0.694241864521033
2000-01-07,5539.60986328125,0.016288309616869303,5695.50400390625,5756.067041015625,5646.747534179687,5598.564680989583,5705.507297585227,5687.328271484375,12.702531425523375,34.59553444731773,8.58857991329272,14.254177762389816,0.9141142008670728,-35.8203125,141.40966796875,-159.75331809135656,-171.18017578125,1923706505494.51,5.56984395604396,3.58983481115158,1448659507692.31,1.56581233719045,2.54945054945055,9.08145344635096,484057186813.187,4.04313662648102,,0.694301639141127
2000-01-10,5646.1201171875,0.01904452785688694,5611.76201171875,5736.893017578125,5646.297021484375,5546.599967447916,5666.151447088068,5677.124683779762,2.3402131497932714,42.45260323917685,21.136422602491688,10.850800766328021,0.7886357739750831,115.72998046875,137.81005859375,-103.95959648322656,-191.740234375,1924380958241.76,5.56366593406593,3.61359417669977,1449262461538.46,1.5646422659019,2.57417582417582,9.06891299230188,484207780219.78,4.03980542970531,,0.694480963001408
2000-01-11,5613.89990234375,-0.005722956571683338,5557.51201171875,5716.255029296875,5654.548022460937,5558.052669270834,5649.647283380682,5677.107835751488,1.7250265447064521,50.34081588524291,36.0690919969304,21.931364837571603,0.639309080030696,20.30029296875,100.4599609375,-30.753418499505205,-206.3798828125,1924605775824.18,5.56160659340659,3.62151396521583,1449463446153.85,1.56425224213905,2.58241758241758,9.06473284095218,484257978021.978,4.03869503078008,,0.694540737621502
2000-01-12,5582.5,-0.005608943042101331,5545.88798828125,5694.197998046875,5658.455029296875,5576.8486328125,5631.037260298295,5673.236586216518,-1.058283765602937,48.12361192540928,31.551838507862595,29.585784369094895,0.684481614921374,-112.60986328125,154.51953125,-31.496387652754656,-220.5703125,1924830593406.59,5.55954725274725,3.62943375373189,1449664430769.23,1.5638622183762,2.59065934065934,9.06055268960249,484308175824.176,4.03758463185484,,0.694600512241596
2000-01-13,5633.240234375,0.009048101949871453,5566.44794921875,5669.739990234375,5659.356518554688,5589.05263671875,5610.728533380682,5666.00277390253,-5.461419349527205,45.93298981649609,27.149592306012487,31.59017427026849,0.7285040769398752,41.27001953125,92.22998046875,-45.29138900801016,-244.580078125,1925055410989.01,5.55748791208791,3.63735354224795,1449865415384.62,1.56347219461335,2.5989010989011,9.05637253825279,484358373626.374,4.03647423292961,,0.69466028686169
2000-01-14,5787.43994140625,0.02700523538164437,5603.0740234375,5649.289013671875,5664.512036132813,5611.316731770833,5604.092214133523,5663.515508742559,-5.175688121094936,50.01809912293955,34.26334067417545,30.98825716268351,0.6573665932582454,46.990234375,102.77978515625,-16.44224615617219,-204.509765625,1925280228571.43,5.55542857142857,3.64527333076401,1450066400000.0,1.5630821708505,2.60714285714286,9.0521923869031,484408571428.571,4.03536383400437,,0.694720061481784
2000-01-17,5842.77978515625,0.009516632137796263,5652.6400390625,5632.201025390625,5676.876025390625,5672.772037760416,5629.210564630682,5675.222928292411,6.306971562813487,60.17787874569084,55.88204085907705,39.09832461308832,0.44117959140922947,118.2998046875,139.4501953125,63.842542222312645,-170.8798828125,1925954681318.68,5.54925054945055,3.6690326963122,1450669353846.15,1.56191209956195,2.63186813186813,9.03965193285402,484559164835.165,4.03203263722867,,0.694899385342065
